pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2011:02:11 23:15:09,ITALY,"VERONA, L. GARDA AT NIGHT","45.6, 10.9",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26531,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26531.jpg,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26531  - 	26533,54
,2011:02:11 23:15:09,Italy,"Lago di Garda, Verona","45.6 ,10.9",Nadir: suroeste,despejado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26531,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26531.JPG,Marian,,200.0 mm,NIKON D3S,0.066666666666667,4,12800,1,http://www.flickr.com/photos/magisstra/5322644989/in/photostream/#/,26531 - 26533,
,2011:02:11 23:21:26,Rusia,"SARATOV, ENGELS AT NIGHT","51.5, 46.1",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26536,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26536.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26534 - 	26537,53
,2011:02:11 23:21:51,Rusia,TOLYATTI TO SAMARA AT NIGHT,"53.4, 49.9",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26539,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26539.JPG,"Alex, Marian",,125.0 mm,NIKON D3S,0.066666666666667,4,12800,1,,26538,54
,2011:02:11 23:21:59,Rusia,SAMARA AT NIGHT,"53.1, 50.3",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26540,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26540.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26540 - 	26542,
,2011:02:11 23:22:34,Rusia,,,,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26543,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26543.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,,,,
,2011:02:12 10:06:10,USA-ILINOIS,CHICAGO AT NIGHT,"41.6, -87.4",Nadir: sureste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26545,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26545.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,26545 - 	26548,
,2011:02:12 10:07:33,USA-ILINOIS,CHICAGO AT NIGHT,"41.8, -87.7",Nadir: Suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26553,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26553.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,26549 - 	26553,
,2011:02:12 10:09:59,USA-NEW YORK,NEW YORK CITY AT NIGHT,"40.6, -74.0",Nadir: Este,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26567,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26567.JPG,Alex,desenfocada,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,26564 - 	26567,
,2011:02:12 10:10:08,USA-NEW JERSEY,TRENTON TO NEW YORK CITY AT NIGHT,"40.5, -74.0",Nadir: Noreste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26568,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26568.JPG,Alex,,80 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,26568 - 26569,
